2025-01-17 08:16:56.41 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click
2025-01-17 08:16:56.47 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click *** = '0,0664 secondes'

2025-01-17 08:16:57.58 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click
2025-01-17 08:16:57.63 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click *** = '0,0742 secondes'

2025-01-17 08:17:00.48 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click
2025-01-17 08:17:00.54 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click *** = '0,0645 secondes'

2025-01-17 08:17:10.95 | User | APP_v5.M.3.xlsb | modMenu:SauvegarderEtSortirApplication
2025-01-17 08:17:14.32 | User | APP_v5.M.3.xlsb | modMenu:Delete_User_Active_File
2025-01-17 08:17:14.47 | User | APP_v5.M.3.xlsb | modMenu:Delete_User_Active_File *** = '0,1543 secondes'

2025-01-17 08:17:14.52 | User | APP_v5.M.3.xlsb | ***** Session terminée NORMALEMENT (modMenu:SauvegarderEtSortirApplication) *****

2025-01-17 09:20:49.33 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-17 09:20:49.38 | vgervais | APP_v5.M.3.xlsb | modFunctions:Fn_Complete_Date(2025-01-17, 600, 15)
2025-01-17 09:20:49.41 | vgervais | APP_v5.M.3.xlsb | modFunctions:Fn_Complete_Date *** = '0,0391 secondes'

2025-01-17 09:20:49.45 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate *** = '0,1250 secondes'

2025-01-17 09:20:49.49 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-01-17 09:20:49.52 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/17-01-2025
2025-01-17 09:20:49.60 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0820 secondes'

2025-01-17 09:20:49.64 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/17-01-2025
2025-01-17 09:20:49.68 | vgervais | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-17 09:20:49.72 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-17 09:20:49.75 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-17 09:20:49.85 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1016 secondes'

2025-01-17 09:20:49.89 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-17 09:20:50.03 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1445 secondes'

2025-01-17 09:20:50.07 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3516 secondes'

2025-01-17 09:20:50.11 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-17 09:20:50.32 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,2188 secondes'

2025-01-17 09:20:50.36 | vgervais | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables
