2024-12-21 16:09:40.23 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Setup_All_Cells
2024-12-21 16:09:40.64 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Setup_All_Cells = 0,4180 sec.

2024-12-21 16:09:40.76 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Setup_All_Cells
2024-12-21 16:09:40.99 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Setup_All_Cells = 0,2344 sec.

2024-12-21 16:09:41.31 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange:$E$3:$F$3
2024-12-21 16:09:41.34 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange = 0,0273 sec.

2024-12-21 16:09:43.49 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Client_Change(9280-2271 Québec Inc. [Jérôme Auger])
2024-12-21 16:09:43.52 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Data_In_A_Range
2024-12-21 16:09:43.54 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Data_In_A_Range = 0,0312 sec.

2024-12-21 16:09:43.68 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed
2024-12-21 16:09:43.70 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed = 0,0312 sec.

2024-12-21 16:09:43.73 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Client_Change - clientCode = '1013n' = 0,2383 sec.

2024-12-21 16:09:43.84 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Get_All_TEC_By_Client
2024-12-21 16:09:43.87 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed
2024-12-21 16:09:43.89 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed = 0,0234 sec.

2024-12-21 16:09:43.91 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:Get_TEC_For_Client_AF('1013n', 21/12/24, VRAI, FAUX, FAUX)
2024-12-21 16:09:44.13 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:Get_TEC_For_Client_AF = 0,2305 sec.

2024-12-21 16:09:44.16 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Filtered_Entries_Copy_To_FAC_Brouillon
2024-12-21 16:09:44.21 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Add_Check_Boxes
2024-12-21 16:09:44.34 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Add_Check_Boxes = 0,1367 sec.

2024-12-21 16:09:44.42 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$25
2024-12-21 16:09:44.44 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$25 = 0,0273 sec.

2024-12-21 16:09:44.48 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$25
2024-12-21 16:09:44.50 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$25 = 0,0273 sec.

2024-12-21 16:09:44.53 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$26
2024-12-21 16:09:44.55 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$26 = 0,0234 sec.

2024-12-21 16:09:44.59 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$26
2024-12-21 16:09:44.61 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$26 = 0,0273 sec.

2024-12-21 16:09:44.65 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$27
2024-12-21 16:09:44.67 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$27 = 0,0273 sec.

2024-12-21 16:09:44.71 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$27
2024-12-21 16:09:44.73 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$27 = 0,0273 sec.

2024-12-21 16:09:44.77 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$28
