2025-01-14 08:51:57.53 | GuillaumeCharron | APP_v5 (version 1).xlsb | modMenu:menuComptabilite_Click *** = '0,0664 secondes'

2025-01-14 08:51:58.21 | GuillaumeCharron | APP_v5 (version 1).xlsb | wshENC_Saisie:Worksheet_Activate
2025-01-14 08:51:58.23 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:Client_List_Import_All
2025-01-14 08:51:58.53 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:ResizeTable
2025-01-14 08:51:58.55 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:ResizeTable *** = '0,0215 secondes'

2025-01-14 08:51:58.57 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:ApplyFormatting
2025-01-14 08:51:58.59 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:ApplyFormatting *** = '0,0234 secondes'

2025-01-14 08:51:58.66 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:Client_List_Import_All *** = '0,4316 secondes'

2025-01-14 08:51:58.68 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:FAC_Comptes_Clients_Import_All
2025-01-14 08:51:59.27 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:FAC_Comptes_Clients_Import_All *** = '0,5938 secondes'

2025-01-14 08:51:59.29 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:FAC_Détails_Import_All
2025-01-14 08:51:59.91 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:FAC_Détails_Import_All *** = '0,6250 secondes'

2025-01-14 08:51:59.93 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:FAC_Entête_Import_All
2025-01-14 08:52:00.50 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:FAC_Entête_Import_All *** = '0,5645 secondes'

2025-01-14 08:52:00.52 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:ENC_Détails_Import_All
2025-01-14 08:52:01.05 | GuillaumeCharron | APP_v5 (version 1).xlsb | modImport:ENC_Détails_Import_All *** = '0,5352 secondes'

