2024-12-22 05:29:56.46 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 = 0,0566 sec.

2024-12-22 05:29:56.49 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange:$S$45
2024-12-22 05:29:56.51 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange = 0,0254 sec.

2024-12-22 05:29:59.01 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Goto_Onglet_FAC_Finale
2024-12-22 05:29:59.03 | GuillaumeCharron | APP_v5.G.5.xlsb | modGL_Rapport:GL_Get_Account_Trans_AF(2400 - De 31/07/24 à 22/12/24)
2024-12-22 05:29:59.22 | GuillaumeCharron | APP_v5.G.5.xlsb | modGL_Rapport:GL_Get_Account_Trans_AF = 0,1895 sec.

2024-12-22 05:29:59.25 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$B$5
2024-12-22 05:29:59.27 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$B$5 = 0,0254 sec.

2024-12-22 05:29:59.44 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$B$27
2024-12-22 05:29:59.46 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$B$27 = 0,0234 sec.

2024-12-22 05:29:59.55 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Finale:Worksheet_Activate
2024-12-22 05:29:59.79 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Finale:Worksheet_Activate = 0,2461 sec.

2024-12-22 05:29:59.82 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Goto_Onglet_FAC_Finale = 0,8125 sec.

2024-12-22 05:30:05.88 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Creation_PDF - '24-24709'
2024-12-22 05:30:05.90 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Create_PDF(24-24709)
2024-12-22 05:30:05.93 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Create_PDF_Func(24-24709, SaveOnly)
2024-12-22 05:30:07.96 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Create_PDF_Func = 2,0410 sec.

2024-12-22 05:30:07.99 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Create_PDF = 2,0879 sec.

2024-12-22 05:30:08.01 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Copie_Vers_Excel(1013j, La Mutuelle D'Immeubles Inc. [Tack Immobilier] [Paul-Hubert Tremblay], 24-24709, 2024-12-22)
2024-12-22 05:30:43.43 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Copie_Vers_Excel = 35,4277 sec.

2024-12-22 05:30:43.46 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Creation_Courriel(24-24709, 1013j)
2024-12-22 05:30:44.19 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Creation_Courriel = 0,7441 sec.

2024-12-22 05:30:44.22 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Creation_PDF = 38,3496 sec.

2024-12-22 05:31:43.04 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Save (# = 24-24709 - Date = 22/12/2024)
2024-12-22 05:31:43.07 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Header_to_DB (# = 24-24709 - Date = 22/12/2024)
