2024-12-07 19:27:32.28 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate = 4,0703 sec.

2024-12-07 19:27:35.13 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Terminate
2024-12-07 19:27:35.38 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Terminate = 0,3984 sec.

2024-12-07 19:27:37.30 | Guillaume | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-07 19:27:37.55 | Guillaume | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,3828 sec.

2024-12-07 19:27:41.90 | Guillaume | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-07 19:27:42.14 | Guillaume | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,3672 sec.

2024-12-07 19:27:42.35 | Guillaume | APP_v5.G.3.xlsb | modMenu:Delete_User_Active_File
2024-12-07 19:27:42.56 | Guillaume | APP_v5.G.3.xlsb | modMenu:Delete_User_Active_File = 0,3438 sec.

2024-12-07 19:27:42.79 | Guillaume | APP_v5.G.3.xlsb | ***** Session terminée NORMALEMENT (modMenu:Exit_After_Saving) *****

2024-12-08 00:28:14.31 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-08 00:28:14.39 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-08 00:28:14.66 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,2731 sec.

2024-12-08 00:28:14.70 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-08 00:28:14.87 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1760 sec.

2024-12-08 00:28:14.90 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,5900 sec.

2024-12-08 00:28:14.93 | vgervais | APP_v5.G.0.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-08 00:28:15.02 | vgervais | APP_v5.G.0.xlsb | modStatsHeures:Stats_Heures_AF = 0,0959 sec.

2024-12-08 00:28:15.07 | vgervais | APP_v5.G.0.xlsb | modAppli:UpdatePivotTables
2024-12-08 00:28:15.13 | vgervais | APP_v5.G.0.xlsb | modAppli:UpdatePivotTables = 0,0641 sec.

2024-12-08 00:28:15.20 | vgervais | APP_v5.G.0.xlsb | ufStatsHeures:UserForm_Initialize
2024-12-08 00:28:15.22 | vgervais | APP_v5.G.0.xlsb | ufStatsHeures:ChargerListBoxAvec52DernieresSemaines
2024-12-08 00:28:15.26 | vgervais | APP_v5.G.0.xlsb | ufStatsHeures:lbxDatesSemaines_Click(02-12-2024 au 08-12-2024)
2024-12-08 00:28:15.29 | vgervais | APP_v5.G.0.xlsb | ufStatsHeures:lbxDatesSemaines_Click_or_DblClick(02-12-2024 au 08-12-2024)
2024-12-08 00:28:15.33 | vgervais | APP_v5.G.0.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7 - 2024-08-12)
2024-12-08 00:28:15.36 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-08 00:28:15.39 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-08 00:28:15.65 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,2570 sec.

2024-12-08 00:28:15.68 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-08 00:28:15.81 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1300 sec.

