2024-11-02 13:56:38.30 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Finale:Worksheet_Activate |  | 31
2024-11-02 13:56:38.81 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Finale:Worksheet_Activate | 0,5312 sec. | 31

2024-11-02 13:56:39.06 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Goto_Onglet_FAC_Finale | 1,1523 sec. | 31

2024-11-02 13:56:55.43 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Bouton_Creation_PDF - '24-24606' |  | 31
2024-11-02 13:56:55.68 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Create_PDF(24-24606) |  | 31
2024-11-02 13:56:55.88 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Create_PDF_Func(24-24606, SaveOnly) |  | 31
2024-11-02 13:57:01.80 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Create_PDF_Func | 5,9336 sec. | 31

2024-11-02 13:57:02.01 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Create_PDF | 6,3477 sec. | 31

2024-11-02 13:57:02.22 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Copie_Vers_Excel(1556, Remorque Terrebonne 2021 Inc. [Pierre Beauregard], 24-24606, 2024-11-02) |  | 31
2024-11-02 13:57:25.77 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Copie_Vers_Excel | 23,5664 sec. | 31

2024-11-02 13:57:25.99 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Creation_Courriel(24-24606, 1556) |  | 31
2024-11-02 13:57:27.50 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Creation_Courriel | 1,5312 sec. | 31

2024-11-02 13:57:27.72 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Bouton_Creation_PDF | 32,3047 sec. | 31

2024-11-02 13:58:13.69 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Save (# = 24-24606 - Date = 02/11/2024) |  | 31
2024-11-02 13:58:13.94 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Header_to_DB (# = 24-24606 - Date = 02/11/2024) |  | 31
2024-11-02 13:58:15.39 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Header_to_DB | 1,4609 sec. | 31

2024-11-02 13:58:15.59 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Header_Locally (# = 24-24606 - Date = 02/11/2024) |  | 31
2024-11-02 13:58:15.87 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Header_Locally | 0,2930 sec. | 31

